latitude,longitude,postal_code,fsa
43.65703,-79.40867,M5S 2P8,M5S 
43.70593,-79.40058,M4R 1C7,M4R 
43.65291,-79.42997,M6J 2E1,M6J 
43.64247,-79.41246,M5V 3X6,M5V 
43.63647,-79.44308000000001,M6K 1J6,M6K 
43.64498,-79.43251,M6K 2G5,M6K 
43.63997,-79.39551,M5V 3Z4,M5V 
43.66928,-79.39738,M5R 1B1,M5R 
43.66772,-79.42808000000001,M6G 3V4,M6G 
43.644909999999996,-79.3883,M5V 0G5,M5V 
43.64145,-79.38343,M5J 0B1,M5J 
43.64461,-79.39229,M5V 3P5,M5V 
43.64232,-79.40171,M5V 1C3,M5V 
43.64927,-79.41144,M6J 3N4,M6J 
43.674640000000004,-79.28916,M4E 3G2,M4E 
43.67926,-79.31065,M4L 3M4,M4L 
43.76035,-79.40689,M2N 4T9,M2N 
