fsa,postal_code,property_type,room_type,price,source_loaded
M6H ,M6H 1N9,Apartment,Entire home/apt,141.0,airbnb
M4E ,M4E 2B8,Apartment,Entire home/apt,68.0,airbnb
M8Y ,M8Y 2J7,Bungalow,Private room,79.0,airbnb
M5T ,M5T 1L8,Apartment,Entire home/apt,250.0,airbnb
M6C ,M6C 2P7,House,Private room,35.0,airbnb
M6H ,M6H 3W2,Apartment,Entire home/apt,119.0,airbnb
M5S ,M5S 1H4,House,Private room,67.0,airbnb
M6H ,M6H 1B5,Apartment,Private room,46.0,airbnb
M8V ,M8V 0B1,Condominium,Private room,56.0,airbnb
M8V ,M8V 1M4,Townhouse,Private room,78.0,airbnb
M6J ,M6J 1S7,House,Private room,70.0,airbnb
M6E ,M6E 4P5,House,Private room,75.0,airbnb
M4W ,M4W 3Y1,Condominium,Private room,96.0,airbnb
M4M ,M4M 2E6,Apartment,Entire home/apt,135.0,airbnb
M5R ,M5R 1S3,Apartment,Entire home/apt,98.0,airbnb
M4J ,M4J 1L8,Apartment,Entire home/apt,159.0,airbnb
M1N ,M1N 2L2,Bungalow,Entire home/apt,94.0,airbnb
M6K ,M6K 3E7,Loft,Entire home/apt,80.0,airbnb
M6J ,M6J 1J6,Apartment,Private room,84.0,airbnb
M5V ,M5V 2R2,Loft,Entire home/apt,200.0,airbnb
M6R ,M6R 1N1,Apartment,Private room,68.0,airbnb
M6P ,M6P 1Z8,Loft,Entire home/apt,425.0,airbnb
M1B ,M1B 2W5,House,Private room,55.0,airbnb
M1S ,M1S 2E1,Guest suite,Entire home/apt,55.0,airbnb
M5V ,M5V 3P7,Apartment,Entire home/apt,189.0,airbnb
M4C ,M4C 4K2,House,Private room,46.0,airbnb
M5S ,M5S 1X9,House,Entire home/apt,300.0,airbnb
M9C ,M9C 1T1,House,Entire home/apt,130.0,airbnb
M6P ,M6P 3Y7,House,Entire home/apt,104.0,airbnb
M6K ,M6K 2J2,House,Entire home/apt,121.0,airbnb
M4L ,M4L 2G4,House,Entire home/apt,170.0,airbnb
M6K ,M6K 3H4,Loft,Entire home/apt,90.0,airbnb
M8V ,M8V 2W1,Bungalow,Entire home/apt,60.0,airbnb
M5S ,M5S 1X2,Apartment,Entire home/apt,99.0,airbnb
M6E ,M6E 1K4,House,Entire home/apt,70.0,airbnb
M5A ,M5A 3N3,Apartment,Entire home/apt,121.0,airbnb
M5S ,M5S 2L9,Apartment,Entire home/apt,95.0,airbnb
M5A ,M5A 2L2,Apartment,Entire home/apt,90.0,airbnb
M2K ,M2K 1C5,Apartment,Entire home/apt,84.0,airbnb
M6R ,M6R 2A4,House,Entire home/apt,200.0,airbnb
M4M ,M4M 2W3,House,Shared room,291.0,airbnb
M2J ,M2J 3Z7,House,Private room,27.0,airbnb
M2J ,M2J 3Z7,House,Private room,25.0,airbnb
M6J ,M6J 2J3,House,Private room,100.0,airbnb
M6K ,M6K 3S2,Apartment,Entire home/apt,200.0,airbnb
M2P ,M2P 1T3,Apartment,Entire home/apt,95.0,airbnb
M6G ,M6G 2R8,House,Private room,50.0,airbnb
M6P ,M6P 3X9,House,Entire home/apt,150.0,airbnb
M5S ,M5S 1B7,House,Entire home/apt,330.0,airbnb
M6J ,M6J 2J8,House,Entire home/apt,399.0,airbnb
M5J ,M5J 2N2,Apartment,Entire home/apt,159.0,airbnb
M4M ,M4M 1K3,House,Entire home/apt,250.0,airbnb
M1L ,M1L 0B1,Townhouse,Entire home/apt,88.0,airbnb
M6G ,M6G 2Y3,House,Private room,50.0,airbnb
M6J ,M6J 1H4,House,Private room,55.0,airbnb
M6J ,M6J 2S2,Apartment,Entire home/apt,99.0,airbnb
M6C ,M6C 2L4,Apartment,Private room,43.0,airbnb
M1N ,M1N 1G2,Cottage,Private room,84.0,airbnb
M6H ,M6H 2K4,Guest suite,Entire home/apt,50.0,airbnb
M4R ,M4R 1A9,Apartment,Private room,74.0,airbnb
M4R ,M4R 1A9,Apartment,Private room,88.0,airbnb
M4R ,M4R 1A9,Apartment,Entire home/apt,299.0,airbnb
M6J ,M6J 3W4,Townhouse,Private room,82.0,airbnb
M6H ,M6H 1B5,Apartment,Private room,46.0,airbnb
M4V ,M4V 2M3,House,Private room,50.0,airbnb
M4V ,M4V 2M4,House,Private room,50.0,airbnb
M4Y ,M4Y 3B2,Condominium,Private room,125.0,airbnb
M4R ,M4R 1A9,Apartment,Private room,84.0,airbnb
